fixture_name,partition,condition,solver,node_name,node_type,server_count,qlen,util,respt,residt,tput
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,AS2,Activity,1,19.333306640801542,0.5000199967910839,57.99760039060787,29.06137518533481,0.33334666452738926
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,PR,Processor,1,NaN,0.0,NaN,NaN,NaN
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,PS,Processor,1,NaN,1.0000076303201215,NaN,NaN,NaN
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,R1,RefTask,1,53.91047128266388,0.0,NaN,0.0,1.1173232024495139
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,R2,RefTask,1,53.91047128266389,0.0,NaN,0.0,1.1173232024495139
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,TS,Task,1,96.25001897679888,1.0000076303201215,NaN,48.12464228197309,2.0000152606402435
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,ER1,Entry,1,53.91047128266388,NaN,48.24966595563007,NaN,1.1173232024495139
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,ER2,Entry,1,53.91047128266389,NaN,48.249665955630086,NaN,1.1173232024495139
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,ES1,Entry,1,48.12500948839942,NaN,48.12464228197309,NaN,1.0000076303201213
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,ES2,Entry,1,48.12500948839946,NaN,48.124642281973095,NaN,1.000007630320122
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,A1,Activity,1,53.910471299657885,0.0,48.24966597083964,0.0,1.117323202449514
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,A2,Activity,1,53.9104712996579,0.0,48.24966597083965,0.0,1.117323202449514
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,AS1,Activity,1,47.99998468774476,0.5000038151600605,47.99961843529041,24.062321140986533,1.000007630320121
A2_multiclassA_2refs_loadLow_N50,A2,f20off,LN,AS2,Activity,1,47.9999846877448,0.500003815160061,47.99961843529041,24.062321140986555,1.000007630320122
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,PR,Processor,1,NaN,0.0,NaN,NaN,NaN
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,PS,Processor,1,NaN,1.0000026283346297,NaN,NaN,NaN
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,R1,RefTask,1,65.13150553120471,0.0,NaN,0.0,0.4385968718777479
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,R2,RefTask,1,65.13150553120474,0.0,NaN,0.0,0.43859687187774804
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,TS,Task,1,98.83336308181322,1.0000026283346297,NaN,148.2496549730178,0.6666684188897533
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,ER1,Entry,1,65.13150553120471,NaN,148.499703731036,NaN,0.4385968718777479
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,ER2,Entry,1,65.13150553120474,NaN,148.499703731036,NaN,0.43859687187774804
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,ES1,Entry,1,49.41668154090659,NaN,148.2496549730178,NaN,0.33333420944487646
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,ES2,Entry,1,49.41668154090662,NaN,148.2496549730178,NaN,0.3333342094448767
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,A1,Activity,1,65.13150554141147,0.0,148.49970375430732,0.0,0.43859687187774804
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,A2,Activity,1,65.13150554141149,0.0,148.49970375430732,0.0,0.4385968718777482
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,AS1,Activity,1,49.333331558141204,0.5000013141673146,147.9996056819349,74.12482748650888,0.3333342094448764
A2_multiclassA_2refs_loadHigh_N50,A2,f20off,LN,AS2,Activity,1,49.333331558141246,0.5000013141673151,147.99960568193487,74.12482748650892,0.33333420944487674
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,PR,Processor,1,NaN,0.0,NaN,NaN,NaN
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,PS,Processor,1,NaN,1.000075049430567,NaN,NaN,NaN
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,R1,RefTask,1,19.07882070465425,0.0,NaN,0.0,0.34074889193095476
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,R2,RefTask,1,18.132565031713906,0.0,NaN,0.0,0.9700650089792566
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,TS,Task,1,37.4256952427786,1.000075049430567,NaN,28.397034942318818,1.3179437683828312
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,ER1,Entry,1,19.07882070465425,NaN,55.99085178689342,NaN,0.34074889193095476
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,ER2,Entry,1,18.132565031713906,NaN,18.692113274752334,NaN,0.9700650089792566
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,ES1,Entry,1,19.20450231302773,NaN,56.30115539843568,NaN,0.34110316523915113
